hotspot_id,lat,long,fid,ID_HDC_G0,NAME_MAIN,NAME_LIST,POP_2015,BU_2015
L831814,37.3583896,-121.9737768,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L823954,37.549443,-121.9688845,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L651759,37.8078958,-122.4751809,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L280388,37.2415899,-121.8727098,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L852525,37.8071732,-122.4247313,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L367436,37.5064577,-122.225647,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1040389,37.7653038,-122.5001764,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L615495,37.9098045,-122.3525047,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L213054,37.81014,-122.4104619,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1004802,37.8047658,-122.4562311,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L487543,37.8822125,-122.3036456,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1833748,38.0378858,-122.2704978,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L582754,37.695231,-122.1906281,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L2135148,37.6242932,-122.3775673,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L638260,37.7332201,-122.5032556,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1937331,37.2578982,-121.7913651,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L622485,37.8458334,-122.30106,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1277599,37.7156154,-122.3786187,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1342437,37.53555,-122.3354751,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1071411,37.7799752,-122.5133193,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1801585,37.8365218,-122.3010791,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L7962294,37.4363666,-122.1657915,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1028642,37.5296126,-122.2639811,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L833683,37.732711,-122.2534561,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1124283,37.7990522,-122.4737191,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
